ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Link
1,SSSF021500,SW3,SW-TH_SSSF021500,1,SSSF021500,https://www.mouser.com/ProductDetail/688-SSSF021500
3,1M,"R1,R2,R10,R19,R24,R32",AXIAL-0.3,6,,
4,33k,"R3,R40",AXIAL-0.3,2,,
5,4.7k,"R4,CLR-EP,CLR-OCD",AXIAL-0.3,3,,
6,470,"R5,R15",AXIAL-0.3,2,,
7,8.2k,R6,AXIAL-0.3,1,,
8,1k,"R7,R20,R25,R41",AXIAL-0.3,4,,
9,15k,R8,AXIAL-0.3,1,,
10,10k,"R9,R11,R12,R17,R18,R21,R23,R26,R28,R31,R35,R36,R43,R44",AXIAL-0.3,14,,
11,47k,"R13,R30,R46",AXIAL-0.3,3,,
12,100,"R14,R27,R45",AXIAL-0.3,3,,
13,27,R16,AXIAL-0.3,1,,
14,27k,"R22,R29",AXIAL-0.3,2,,
15,18k,R33,AXIAL-0.3,1,,
16,3.3k,R34,AXIAL-0.3,1,,
17,150k,R37,AXIAL-0.3,1,,
18,39k,R38,AXIAL-0.3,1,,
19,22k,R39,AXIAL-0.3,1,,
20,510k,R42,AXIAL-0.3,1,,
21,1N4001,D1,DO-35,1,,
22,1N5817,D2,DO-35,1,,
41,1N4739A,D3,DO-41,1,,
42,TL082IP,U1,DIP-8_L10.1-W6.3-P2.54-LS7.6-BL,1,TL082,
30,2SC1815,"Q2,Q7",TO-92-3_L5.1-W4.1-P1.27-L,2,2SC1815,
40,2N7000,"Q5,Q6",TO-92(TO-92-3),2,2N7000,
23,2N5457,"Q1,Q3,Q4",TO92-INLINE,3,2N5457,
24,SPDT,"SW1,SW2,SW4",Sub-Mini SPDT On On Switch,3, 200-MSP1-T1B1M2QE,https://lovemyswitches.com/taiway-sub-mini-spdt-on-on-switch-pcb-mount-long-shaft/
25,47n,C1,CAP-2.5*6.5*7.2,1,,
2,3.3n,C7,CAP-2.5*6.5*7.2,1,,
26,22n,"C14,C15,C24",CAP-2.5*6.5*7.2,3,,
27,220p,"C18,C21",RAD-0.1,2,,
28,100n,"C19,C22,C25",CAP-2.5*6.5*7.2,3,,
29,1n,C20,CAP-2.5*6.5*7.2,1,,
31,C 10K,VR1 (Boost),PCB_POT_RIGHT_ANGLE_GT,1,,
32,A1M,VR2 (Drive),PCB_POT_RIGHT_ANGLE_GT,1,,
33,B10k,VR3 (Tone),PCB_POT_RIGHT_ANGLE_GT,1,,
34,A100k,VR4 (Volume),PCB_POT_RIGHT_ANGLE_GT,1,,
35,10u,"C2,C5,C6,C8,C9,C10,C13,C16",CAP_RAD248,8,,
36,100u,C3,CAP_RAD248,1,,
37,47u,C4,CAP_RAD248,1,,
38,220u,"C11,C12",CAP_RAD248,2,,
39,1u,"C17,C23,C26",CAP_RAD248,3,,
,,enclosure,,1,125B,
,,power jack,,1,,
,,audio jacks,,2,,
,,3pdt toggle (order select),,1,,
,,stomp switches,,2,,
,,,,,,
,,,,,,